英単語,訳,発音記号（IPA）,解説
competence,技量,ˈkɑmpətɪns,"〈U〉能力,適性・〈U〉(法律上の)権限・力量・《まれ》《a~》相当の資産"
competency,能力；力量；適性；法的権限,ˈkɑmpətɪnsi,=competence
competent,"【形】有能な；能力のある；適任の；満足のいく；法的権限のある；【副】有能に, 効果的に",ˈkɑmpətɪnt,"『有能な』,能力ある;適任の / (要求を満たすのに)十分な,満足できる / (役所・役人・証人などが)権限(資格)を持つ"
competitiveness,競争力,kəmˈpɛtɪtɪvnɪs,
compile,編集する；まとめる；機械語に翻訳する,kəmˈpaɪl,〈資料など〉'を'まとめる / 〈辞書など〉'を'編集する
complement,"補うもの；総数；補語；補色；補う,補完する；引き立てる",ˈkɑmpləmənt,"(あるものを完全にするため)(…を)補う物(事)《+『of』+『名』》 / 補語(文法で文の成分の一つ) / (必要な)全数,全量;(船の)定員 / …を補足する,補う"
completion,完了,kəmˈpliʃən,"完成,成就;完了,修了"
compliance,コンプライアンス；法令遵守；追従,kəmˈplaɪəns,"(要求・命令などへの)承諾,応諾 / 服従,盲従"
comply,従う；応じる；合致する,kəmˈplaɪ,"(要求・命令・規則などに)『従う』,応ずる《+『with』+『名』》"
composite,複合,kəmˈpɑzət,"合成の,複合の / キク科の / 合成物,複合物 / キク科植物"
compulsory,"義務的な, 強制的な；必修の；規定演技.",kəmˈpʌlsəri,"強制的な,無理じいの / 義務的な,必修の"
computation,算出,ˌkɑmpjəˈteɪʃən,計算;〈C〉(その結果出た)算定額
computerize,コンピューター化する；電子化する,kəmˈpjutəˌraɪz,…'を'電子計算機で処理する / …'を'電子計算化する / 電子計算化される
con,信用詐欺；反対理由,kɑn,…'を'よく研究する
conceal,隠す,kənˈsil,〈物〉'を'『隠す』 / (…に)…'を'『秘密にする』《+『from』+『名』》
concede,認める,kənˈsid,"(譲歩して)…'を'『真実と認める』 / 《『concede』+『名』〈間〉+『名』〈直〉=『concede』+『名』+『to』+『名』》〈権利など〉'を'〈人〉‘に'与える / (…に)譲歩する,(…を)認める《+『to』+『名』》"
conceptual,概念の,kənˈsɛpʧuəl,概念の
concession,"譲歩,許容；売店；許可,認可,特権；考慮,配慮；居留地",kənˈsɛʃən,"〈U〉〈C〉(要球・結果などに対する)『譲歩』,容認《+『to』+『名』》 / 〈C〉譲歩事項,譲与物 / 〈C〉(政府・土地所有者などが与える)特権,利権;免許 / 〈C〉《米》(公園・劇場などでの)売り場使用権,営業権;営業所"
condemn,非難する,kənˈdɛm,"(…であると)〈人・過失など〉'を'『非難する』,とがめる(blame)《+『名』〈人〉+『for』+『名』》 / 〈人〉'を'『有罪と決定する』,‘に'刑を宣告する(sentence) / (ある状態に)〈人など〉'を'追いやる,運命づける(doom) / 〈品物など〉'を'廃棄処分に決める;〈品人など〉'を'分治と宣告する / 《米》〈物・土地など〉'を'収用する,'を'没収を宣集する / 〈人〉'を'罪(やましさ)を証明する"
conditional,条件付きの,kənˈdɪʃənəl,"条件つきの,暫定的な / (文法で)条件を表す / (文法で)条件文(節)"
confer,与える,kənˈfɜr,"(同僚・弁護士などと…について)『相談する』,協議する《+『with』+『名』+『on』(『about, over』)+『名』(do『ing』)》 / (…に)〈爵位・勲章・恩恵など〉'を'与える,授ける《+『名』+『on』(『upon』)+『名』》 / 《廃》比較する(《略》『cf.』)"
conference,会議,ˈkɑnfərəns,"〈C〉『会議』,協議会
〈U〉〈C〉(…との)相談,協議《+『with』+『名』》
〈C〉(学校,スポーツクラブなどの)連盟"
confidential,機密,ˌkɑnfəˈdɛnʃəl,"(文書・行為などが)秘密の,内々の(secret) / (態度などが)打ち解けた / 信用のできる,腹心の"
configuration,配置；機器構成；プログラムの設定,kənˌfɪgjəˈreɪʃən,"(全体の)形状,外形;(部分の)配置;(星の)星位;原子配列"
confine,閉じ込める,kənˈfaɪn,"(ある範囲に)…'を'『制限する』,限る(limit)《+『名』+『to』+『名』》 / (…に)〈人など〉'を'『閉じ込める』,監禁する《+『名』+『in』(『to』)+『名』》 / 《通例受動熊で》〈女性〉'を'お産の床につかせる / 境界,範囲,限界"
confirmation,確認,ˌkɑnfərˈmeɪʃən,"(陳述・所信などの)『確認』;(情報などの)確証;(条約などの)承認《+『of』+『名』》;(…であるという)確証,確認《+『that節』》 / 堅信礼(幼年時代に洗礼を受けた人が成人してその信仰を堅めるために告白をして教会員となる儀式)"
conform,"【動/自】従う【動/他】を従わせる, 適合させる; 一致させる",kənˈfɔrm,"(慣例・規範などに)『従って行動する』(『考える』)《+『to』(『with』)+『名』》・〈物事が〉(…と)一鋳する,符合する《+『to』+『名』》・(…に)…'を'一致させる,適応させる《+『名』+『to』+『名』》"
confront,対面,kənˈfrʌnt,"〈人が〉〈危険・問題・相手など〉‘に'立ち向かう,ぶつかっていく / 〈危険・問題・相手・物などが〉…‘の'前に立ちはだがる,に向かい合って立つ / (…と)…'を'直面させる,対決させる《+『名』+『with』+『名』》"
confrontation,対決,ˌkɑnfrənˈteɪʃən,"(…との)対決,対面,直面《+『with』+『名』》"
conglomerate,複合企業体；寄せ集まった,kənˈglɑmərət,固まりになった;密集した / 礫岩(れきがん)の / 複合企業の / (いろいろな物の)集合体;丸いかたまり / 礫岩 / 複合企業 / …'を'集めて丸く固める / 丸く固まる
congressional,米国議会の; (一般に)国会の; 会議の,kənˈgrɛʃənəl,会議の / 《米》国会の
congressman,議員,ˈkɑŋgrəsmən,"国会議員,下院議員"
conjunction,接続詞,kənˈʤʌŋkʃən,"〈C〉『接続詞』(and,but,for,sinceなど) / 《文》〈U〉〈C〉結合,連結;(事件などの)同時発生 / 〈U〉合(ごう)(二つ以上の天体が同じ黄経上にあること)"
conscious,意識して,ˈkɑnʃəs,"《補語にのみ用いて》『気づいている』,知っている,意識している / 《補語にのみ用いて》(…に)『反応を示す』,意識(知覚)のある《+『to』+『名』》 / 《名詞の前にのみ用いて》『意識した』,わざとらしい / 考えることができる,意志のある"
consecutive,連続的な,kənˈsɛkjətɪv,"(間をおかず)連続した,引き続く / (論理的に)一貫性のある"
consensus,コンセンサス；合意；総意,kənˈsɛnsəs,"(多人数の意見などの)一致,調和《+『of』+『名』》;一致した意見,総意"
consent,同意,kənˈsɛnt,"(…に)『同意する』,承諾する《+『to』+『名』(do『ing』)》 / …‘に'同意する,替成する / 『同意』,承諾,許可"
conservation,保全,ˌkɑnsərˈveɪʃən,"保存,(特に自然環境の)保護"
considerably,かなり,kənˈsɪdərəbli,"『かなり』,相当に,非常に"
consistency,一貫性,kənˈsɪstənsi,"〈U〉(言語・論理などの)一致,一貫性 / 〈U〉〈C〉(特に液体の)濃度,濃さ;(物質の)堅さ,ねばり"
consistently,一貫して,kənˈsɪstəntli,"一貫して;矛盾なく,きまって"
consolidate,統合する,kənˈsɑlɪˌdeɪt,"〈組織など〉'を'固める,〈地位・勢力・知識など〉'を'強化する / …'を'一つにする,'を'合わせて(…に)する《+『名』+『into』+『名』》"
consolidation,合併,kənˌsɑləˈdeɪʃən,"強化 / 合併,合体"
consortium,コンソーシアム；連合体；企業連合,kənˈsɔrʃiəm,"(共通の事業のための)資本連合,企業連合"
conspiracy,陰謀,kənˈspɪrəsi,"陰謀,たくらみ;陰謀団"
constituency,選挙区；(選挙区の)有権者；支援団体；購買層,kənˈstɪʧuənsi,〈C〉選挙区;〈U〉《集合的に》選挙民 / 〈U〉《集合的に》支持者
constituent,成分,kənˈstɪʧuənt,"(またconstitutive)(ある物の)構成要素の / 選挙権(指名権)のある,憲法制定(改正)権のある / (ある物質の)成分,[構成]要素 / 選挙有権者,選挙人"
constitution,憲法,ˌkɑnstəˈtuʃən,"〈U〉(物の)『構成』,構造《+『of』+『名』》 / 〈C〉〈U〉『体格』,体質,性分質,気質 / 〈C〉政体 / 〈C〉『憲法』,国憲 / 《the C-》合衆国憲法 / 〈U〉(制度などの)制定…(機関なとの)設立"
constitutional,憲法の,ˌkɑnstəˈtuʃənəl,"体質の,生まれつきの;構成上の / 憲法の,立憲の / 《話》健康のための散歩"
constrain,制約,kənˈstreɪn,"《『constrain』+『名』+『to』 do》 / 〈人〉'を'押さえつけて動けないようにする,〈怒りなど〉'を'抑えつける"
constructive,建設的,kənˈstrʌktɪv,"建設的な / 構成の,構造上の"
consultancy,コンサルタント会社；専門的なアドバイス,kənˈsʌltənsi,(病院の)相談係
consultation,相談,ˌkɑnsəlˈteɪʃən,"〈U〉〈C〉(…との)相談,協議《+『with』+『名』》;専門家との相談・〈C〉協議会,(専門家の)会議"
consumption,"消費, 消耗, 使い果たすこと；購入；消費量；摂取；肺結核",kənˈsʌmpʃən,"『消費』《時に形容詞を伴ってa~》(…の)消費高(量) / (体力の)消耗 / 《古》肺病,肺結核"
container,容器,kənˈteɪnər,"容器,入れ物(箱・かんなど);(貨物輸送用の)コンテナ"
contemplate,"【動/他】をよく考える,熟考する；をじっと見つめる；を予想する【動/自】熟考する",ˈkɑntəmˌpleɪt,"【動/他】…'を'『よく考える』,熟考する / …'を'じっと見つめる / …'を'予想する,期待する
【動/自】じっくり考える,熟考する"
contend,であると強く主張する；戦う；(with A)Aに対処する,kənˈtɛnd,"(…のことで…と)『争う』(compete),戦う《+『against』(『with』)+『名』+『for』(『about』)+『名』》 / (…について…と)論争する《+『against』(『with』)+『名』〈人〉+『about』『against, for』)+『名』〈事〉》"
continent,大陸,ˈkɑntənənt,"自制した,禁欲的な"
continental,北アメリカ大陸の；大陸的な,ˌkɑntəˈnɛntəl,"大陸の,大陸的な(に特有の) / 《しばしばC-》ヨーロッパ大陸の / 《C-》(米国独立戦争当時の)アメリカ植民地の / 大陸の住人;《しばしばC-》(英国人やアイルランド人から見て)ヨーロッパ本土の人 / 《C-》(米国独立戦争当時の)アメリカ兵"
contingency,非常事態,kənˈtɪnʤənsi,"〈C〉偶発事件,不慮の事故;(ある事に)伴う事件 / 〈U〉偶然,偶発性"
contingent,"派遣団,代表団；不慮の出来事；（be~）依存して；不慮の, 偶発の；不確かな,ありえる.",kənˈtɪnʤənt,"起こるかもしれない,不測の;(…に)起こり得る《+『to』+『名』》 / 《補語にのみ用いて》(他の条件などに)依存する,…次第の《+『on』(『upon』)+『名』》 / 《集合的に》《《米》単数扱い,《英》単数・複数扱い》派遣団,代表団 / 分遣隊(艦隊)"
continually,"【副】絶え間なく,連続して；｟非難して｠しばしば, 頻繁に,四六時中",kənˈtɪnjuəli,"『ひんぱんに』,たびたび(again and again);絶えず"
continuity,【名】連続[継続]性；一貫性；(変化が起こっても)途切れないこと；整合性をとること,ˌkɑntəˈnuəti,"〈U〉連続,断続,一貫性 / 〈U〉(映画・ラジオ・テレビの)コンテ,撮影(録音)用台本;〈C〉コンテに書かれた個々の指示"
continuously,"【副】絶え間なく,連続して",kənˈtɪnjuəsli,
contractor,請負人,ˈkɑnˌtræktər,"契約人,請負人;建設業者 / 収縮する物;(特に)収縮筋"
contractual,契約,kənˈtrækʧuəl,契約[上]の
contrary,反対,ˈkɑntrɛri,"『板抵の』,相いれない / 逆の,逆方向の;意に反した / 《話》ひねくれた,強情な,意地の悪い(perverse) / 〈C〉 / 《the~》『正反対』; / 《しばしば複随形で》相反するもの;相反する性質 / (…の)反対に,逆に,(…に)反して《+『to』+『名』〈事〉,+『with』+『名』〈人〉》"
contributor,投稿者,kənˈtrɪbjətər,"(…への)寄付者《+『to』+『名』(do『ing』)》 / (…への)貢献者,寄与者;一助,一因《+『to』+『名』(do『ing』)》 / (雑誌・新聞などへの)寄稿家《+『to』+『名』》"
controller,コントローラー；管理する人；監査役,kənˈtroʊlər,"管理する人,監督者,取締人 / (また『comptroller』)(会計などの)監査役;会計検査官"
controversy,論争,ˈkɑntrəˌvɜrsi,"(通例紙上での)『論争』;議論,口論"
convenience,便利さ；利便性；便利なもの,kənˈvinjəns,"〈U〉『都合のよいこと』,便利,便宜・〈C〉『便利なもの』;好都合な事情;《複数形で》衣食住の便,便利な設備・《英》《文》=public convenience"
convenient,便利,kənˈvinjənt,"(物事が)『便利な』,使いやすい / 《補語にのみ用いて》(場所が)(…に)近い,近くて便利な《+『to』(『for』)+『名』》"
converge,一点に向かって集まる；収斂する,kənˈvɜrʤ,"(同一点・同一場所に)集まる,集中する《+『on』+『名』》 / (物理・数学で)収れんする / …'を'1点に集める"
convergence,収束,kənˈvɜrʤəns,1点に集まること;〈C〉1点に集まった箇所
conversion,変換,kənˈvɜrʒən,"〈U〉〈C〉(性質・形・機能などの)(…から…への)転換,変換,変化《+『from』+『名』+『into』(『to』)+『名』》 / 〈U〉〈C〉(宗教・主義などの)改宗;(…への)帰依,転向《+『to』+『名』》"
convertible,変換できる；同義の；転換社債,kənˈvɜrtəbəl,"(用途・形・状態などが)変えられる,転換できる / 等価交換できる / 改宗させられる / (車などが)折りたたみ式ほろ屋好がついた / コンバーチブル型の車(船)"
convey,伝える,kənˈveɪ,"(…に)…'を'『運ぶ』,運搬する《+『名』+『to』+『名』》 / 〈思想・意味など〉'を'伝達する / (…に)〈財産など〉'を'正式に譲渡する《+『名』+『to』+『名』》"
convict,犯罪者,ˈkɑnvɪkt,"(…の罪状で)〈人〉‘に'『有罪を宣告する』《+『名』+『of』+『名』(do『ing』)》 / 《文》《しばしば受動態で》(罪・誤りなどを)…に悟らせる《+『名』+『of』+『名』》 / 『罪人』,囚人"
conviction,信念,kənˈvɪkʃən,"〈U〉〈C〉『確信』,自信 / 〈U〉《文》説得力,確信を抱かせること / 〈U〉有罪宣告;〈C〉有罪判決"
cooperative,協同組合,koʊˈɑpəˌreɪtɪv,"協力的な,助けになる
協力の,協同の
協同組織の
協同組合
共同アパート(コーポ)"
coordinate,うまく調整する；まとめる；調和させる；座標；等位の；対等の,koʊˈɔrdənət,"対等の,等位の;(…と)同等の,同位の《+『with』+『名』》 / 同等の人(人物) / (数学の)座標 / 《複数形で》コーディネート(色やデザインを組合せた装い・家具) / 〈各部分〉'を'調和させる / 調和して動く"
coordination,同調；調整；同調関係,koʊˌɔrdəˈneɪʃən,"同等[にすること] / (筋肉運動の)整合,釣り合い"
copper,銅,ˈkɑpər,"〈U〉『銅』(化学記号は『Cu』) / 〈C〉《英話》銅貨 / 〈C〉銅製品,銅器;《英》(先濯用)銅の大がま / 〈U〉赤銅色 / 銅[製]の / 赤銅色の / …‘に'をかぶせる,銅板を張る"
copyright,著作権,ˈkɑpiˌraɪt,"著作権,版権
…'を'著作権(版権)で保護する;…‘の'著作権(版権)を取得する
著作権(版権)のある"
corn,とうもろこし；（肉などを）塩漬けにする,kɔrn,"〈U〉(米,カナダ,オーストラリアで)『とうもろこし』;〈C〉とうもろこしの実(おもに《英》maize, Indian corn) / 〈U〉《英》《集合的に》『穀草』(wheat, oatsなど);『穀物』,穀類;穀粒 / 〈C〉《話》古くさい(お涙ちょうだい的な)もの(こと) / 〈牛肉など〉'を'塩づけにする"
correction,補正,kəˈrɛkʃən,"〈U〉『訂正』,修正,調整 / 〈C〉訂正箇所,訂正の書き入れ / 〈U〉(よくするための)処罰,叱責(しっせき)"
corrective,是正,kəˈrɛktɪv,"訂正(調整,修正,矯正)する,正しくする;訂正(調整,修正,矯正)するための / 矯正手段"
correctly,正しく,kəˈrɛktli,"正しく,正確に;正確に言えば"
correlate,相関,ˈkɔrəˌleɪt,…‘に'相互関係を持たせる;…'を'(…と)関連させる《+『名』+『with』+『名』》 / 相互に関連がある;(…と)関連がある《+『with』+『名』》 / 相互関係にあるもの
correlation,相関,ˌkɔrəˈleɪʃən,〈C〉(…間の)相互関係《+『between』+『名』》;(…との)関連《+『with』+『名』》 / 〈U〉《文》関連させること;相関関係にある状態 / 〈C〉相関グラフ
correspondent,"特派員,通信員,記者；手紙を書く人；取引先；対応[一致]するもの；〖be～〗一致[対応]して",ˌkɔrəˈspɑndənt,"『文通する人』,手紙を書く人 / (新聞・雑誌社などの)『通信員』,特派員 / 《文》(…と)一致する,合致する《+『with』+『名』》 / =corresponding"
corrupt,腐敗した,kəˈrʌpt,"『わいろの利く』,不正行為をする / (道徳的に)『腐敗した』,堕落した / 『汚れた』,汚染した;腐敗した / (誤訳や改変のために,原文などが)改悪された;(言語が)なまった / (わいろなどによって)〈人〉‘に'『不正行為をさせる』,'を'買収する / (道徳的に)〈人〉'を'『堕落させる』,…を腐敗させる / 〈物〉'を'汚す,腐らせる / (不正確に写すなどして)〈原文など〉'を'改悪する;〈言語〉'を'なまらせる / 腐敗する,堕落する"
corruption,汚職,kəˈrʌpʃən,"(官吏などの)不正行為,汚職 / 堕落 / (物の)腐敗 / (原文の)改悪;(言語の)なまり"
costly,高価な,ˈkɑstli,『高価な』;費用のかかる / 損害(犠牲)の多い
cotton,コットン；木綿；綿,ˈkɑtən,"『綿』,綿花 / 綿の木(cotton plant) / 『綿布』,もめん / 綿糸,もめん糸 / 綿製の"
counterpart,対応,ˈkaʊntərˌpɑrt,"(正副2通のうちの)1通,副本,写し / 対応する物(人);よく似た物(人)"
counterparty,相手方,ˈkaʊntərˌpɑrti,
countryside,田舎,ˈkʌntriˌsaɪd,"『いなか』,地方,田園 / 《集合的に》地方の住民"
coup,クーデター；武力政変,ku,"不意に一激 / 大当たり,大成功 / =coup d'etat"
coupon,割引券；申し込み用紙；回数券,ˈkuˌpɔn,"クーポン(切り取って使う切符) / (広告・商品につく)景品引き換え券,優待券 / (公債の)利札(りふだ)"
covariance,共分散,covariance,
covenant,契約,ˈkʌvənənt,"〈C〉(両者または数人の間の)契約,誓約,盟約 / 〈C〉契約条項,約款 / 《the covenant》(神がイスラエル人に与えた)契約 / (文書で)…'を'契約する"
creativity,創造性,ˌkrieɪˈtɪvəti,独創性
credential,信任状,krɪˈdɛnʧəl,
credibility,信頼性,ˌkrɛdəˈbɪlɪti,"信用できること,確実性"
credible,信頼できる,ˈkrɛdəbəl,"信用できる,確実な"
creditor,債権者,ˈkrɛdətər,"債権者,貸し主"
criteria,基準,kraɪˈtɪriə,criterionの複数形
crude,"粗削りな,雑な;大ざっぱな；無礼な；みだらな；天然のままの；ありのままの；原油",krud,"(原材料が)『天然のままの』,未加工の / (製品・作品などが)仕上がりの悪い,荒造りの / (言葉・態度・考え方などが)粗雑な,不作法な / =crude oil"
cruise,クルーズ；遊覧航海する,kruz,(特定の目的地を決めずに)〈船・飛行機が〉巡航(遊航)する;〈タクシーが〉流す / 〈車・飛行機などが〉巡航(経済的な)速度で進む / 〈ある地域〉'を'巡航(巡回)する / 〈飛行機・車など〉'を'巡航(経済的な)速度で進ませる / (レジャーを目的とした)巡洋航海
crunch,噛み砕く,krʌnʧ,"…'を'カリカリ(ボリボリ)かむ / 〈砂利道・氷雪上など〉'を'バリバリ(ジャリジャリ)音を立てる(立てて進む),'を'ザクザク踏む / カリカリ(ボリボリ)かむ / バリバリ(ジャリジャリ,ザクザク)音を立てる(立てて進む) / 〈U〉〈C〉かみ砕くこと(音);踏み砕くこと(音),(砕いて)音を立てて進むこと / 《the~》(決断が必要な)危機,緊張 / 〈U〉金融引締め"
crush,押しつぶす；粉砕する,krʌʃ,"…'を'『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 / …'を'『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…'を'押しつける《+『名』+『against』+『名』》;(…に)…'を'押し込む《+『名』+『into』+『名』》 / (…から)…'を'押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 / …'を'ぎゅっと抱きしめる / …'を'打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 / 『つぶれる』,ぺしゃんこになる;くしゃくしゃになる / 『砕ける』,粉々になる / (…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い,殺到 / 〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手"
cumulative,累積的な,ˈkjumjələtɪv,"しだいに増加する,累加する,累積的な"
curb,縁石,kɜrb,"(馬の)くつわ鎖,止めぐつわ / 拘束,抑制 / 《米》(歩道を車道と区分するため縁にそって並べた)縁石(《英》kerb) / (止めぐつわで)〈馬〉'を'制御する / 〈感情・欲望など〉'を'抑制する"
cure,治す,kjʊr,"〈病気・病人〉'を'『治療する』,なおす / 〈悪癖・弊害など〉'を'『なおす』,取り除く / (塩づけ・燻製(くんせい)などにして)〈魚・肉など〉'を'保存する / 〈病気が〉なおる / (塩づけ・燻製などにして)〈魚・肉などが〉保存させる / 〈U〉〈C〉(病気の)『回復;治療』 / 〈C〉(…の)『治療薬』;『治療法』《+『for』+『名』》"
customize,カスタマイズする；好みに合わせて変更する,ˈkʌstəˌmaɪz,…'を'注文どおりに作る
cyclical,循環的,ˈsaɪklɪkəl,"周期的な,循環する"
dash,急いでいく；突進する,dæʃ,"《副詞[句]を伴っで》『突進する』 / (…に)『衝突する』,激しくぶつかる《+『against』(『into, onto』)+『名』》 / (…に)…'を'『打ちつける』,投げつける《+『名』+『against』(『into, to』)+『名』》;…‘に'打ちつける / 〈元気・希望など〉'を'くじく,〈人〉'を'落胆させる(depress) / (…に)〈木など〉'を'ぶっ掛ける,浴びせる《+『名』+『in』(『on, over』)+『名』》;(水などを)…‘に'ぶっかける《+『名』+『with』+『名』》 / 〈C〉《a~》(…への)『突進』,疾走(rush)《+『at』(『for』)+『名』》 / 《the~》短距離競走 / 《the~》(…に)打ちつける音《+『against』(『on』)+『名』》 / 〈C〉(元気・希望などを)くじくもの,(…の)障害《+『to』+『名』(do『ing』)》 / 〈C〉(混合・添加する)(…の)少量《+『of』+『名』》 / 〈U〉映気;(…する)気力《+『to』 do》 / 〈C〉ダッシュ(一の符号) / 〈C〉モールス信号の長音"
deadline,締め切り,ˈdɛˌdlaɪn,最終期限;(新聞・雑誌などの)原稿〆切（締切）時間・最終期限
debenture,債券,dəˈbɛnʧər,社債券
debit,借り方,ˈdɛbɪt,"(簿記で)借り方,借り方記入 / (ある金額を)…‘の'借り方に記入する《+『名』+『with』+『名』〈=額〉》 / (相手に)〈金額〉'を'借り方として記入する《+『名』〈金額〉+『against』+『名』》"
debtor,債務者,ˈdɛtər,"債務者,借り主 / 借り方(《略》Dr.,dr.)"
decent,"満足できる,立派な；相当な；まずまずの；親切な,上品な；きちんとした,まともな",ˈdisənt,"(社会・道徳的な規範にかなって)『きちんとした』,ふさわしい / 《話》『かなりよい』,まあまあの,そう悪くない / 《話》《補語にのみ用いて》親切な,寛大な"
decentralize,分散する；分権する,dɪˈsɛntrəˌlaɪz,"〈行政〉‘の'中央集権化を避ける,〈産業・人口など〉'を'分散させる"
decimal,小数,ˈdɛsəməl,小数の / 十進法の / 小数
declaration,宣言,ˌdɛkləˈreɪʃən,"〈U〉(…の)『宣言』,発表,布告《+『of』+『名』》 / 〈C〉申告書 / 〈C〉供述"
decree,"法令, 命令, 布告；判決；神意；法令で定める；命じる；判決を下す",dɪˈkri,"法令,布告 / (裁判所の)判決,命令 / …'を'布告する / 《『decree』+『that』》(決まりに称って)…'を'命令する / 〈法廷・裁判官が〉…'を'宣告する,判決する"
deduct,差し引く；控除する,dɪˈdʌkt,"(総計・総額から)…'を'差し引く,控除する《+『名』+『from』+『名』》"
deductible,課税控除の対象になる,dɪˈdʌktəbəl,"差し引くことができる,控除できる"
deduction,推論；差し引き；控除,dɪˈdʌkʃən,"〈U〉差し引き,控除;〈C〉差し引き額,控除額 / 〈U〉演繹(えんえき)法;〈U〉〈C〉推論"
deed,証書,did,"『行為』,行動 / (正式の)捺印証書,権利書 / …'を'証書を作製して譲渡する"
deem,みなす,dim,…‘と'思う(think)
default,デフォルト,dɪˈfɔlt,"(義務・債務などの)不履行,怠慢《+『on』(『against』)+『名』》;(法廷・試合場などへの)不出場・欠席 / (義務・債務などを)履行しない;(裁判・試合などに)出場しない《+『in』(『on』)+『名』》"
defect,欠陥,ˈdifɛkt,"〈C〉『欠点』,弱点,欠陥 / 〈U〉〈C〉《古》不足,欠乏 / (国・党・主義などから)離脱する,裏切って出る《+『from』+『名』》;離反して(…に)転向する《+『to』+『名』》"
defective,欠陥のある；不完全な,dɪˈfɛktɪv,"『欠点のある』,欠陥のある / 欠けている,足りない,(知能的に)標準以下の / 精神障害者,身体障害者"
defendant,被告(人)；被告(側)の,dɪˈfɛndənt,被告
defensive,守備の,dɪˈfɛnsɪv,"防御の,守備の / 弁護の / 防御,守勢"
defer,延期,dɪˈfɜr,"…'を'『延ばす』,延期する(postpone)"
deficiency,欠乏,dɪˈfɪʃənsi,"〈U〉〈C〉(…の)(量・額などの)不足,欠乏《+『of』(『in』)+『名』》 / 〈C〉不足分,不足量,不足額 / 〈C〉(精神・肉体などの)欠陥"
deflation,デフレ,dɪˈfleɪʃən,"空気(ガス)を抜くこと;収縮 / 通貨収縮,デフレーション,テレビ"
defy,従わない；公然と反抗する,dɪˈfaɪ,"《『defy』+『名』+『to』 do》(…してみよと)〈人〉に『挑む』,挑戦する / …'を'『無視する』,ものともしない / 〈物事が〉…'を'『拒む』,受け付けない"
delegate,代表,ˈdɛləgət,"(会議などへの個人の)『代表』,使節《+『to』+『名』》 / 〈人〉'を'『代表として派遣する』 / (…に)〈権限など〉'を'委託する《+『名』+『to』+『名』》"
delegation,代表団,ˌdɛləˈgeɪʃən,"〈U〉『代表派遣』,代表任命 / 〈C〉《集合的に》『代表団』,派遣団"
delete,削除,dɪˈlit,"(…から)〈語など〉'を'削除する,消す《+『名』+『from』+『名』》"
deliberate,意図的,dɪˈlɪb(ə)rət,"『よく考えた』,熟考した;故意の,計画的な / 『思慮ある』,慎重な / 落ち着いた,ゆうゆうとした / …'を'『よく考える』,熟考する;…'を'審議する / (…について)『よく考える』,熟考する;審議する《+『over』(『on,upon,about』)+『名』(do『ing』)》"
deliberately,わざと,dɪˈlɪbərətli,"よく考えて,慎重に(cautiously) / 故意に,わざと"
deliverable,配送品；達成事項；配達可能な; 救出できる；到達可能な.,dɪˈlɪvərəbəl,
delta,デルタ；三角州；三角形のもの,ˈdɛltə,"デルタ(ギリシア語アルファベットの第4字Δ,δ;英語D,dに相当) / (河口の)三角州,デルタ / 三角形をしたもの"
demise,"終了,停止；終結；死去；不動産権の移転；譲位；譲渡する；譲る",dɪˈmaɪz,《遠回しに》(人の)死 / 《ふざけて》(物事の)消滅;終末
demographic,【名】特定の人口集団【形】人口統計学の,ˌdɛməˈgræfɪk,人口統計学の
denominate,呼称,dɪˈnɑməˌneɪt,…‘に'命名する
denote,示す；意味する,dɪˈnoʊt,"…‘を'示す,表す;…‘の'記号である"
denounce,非難,dɪˈnaʊns,"(公然と)〈人〉‘を'『非難する』,攻撃する / 〈一方の国が〉〈条約など〉‘を'廃棄宣言する"
dent,凹み,dɛnt,"くぼみ,へこみ / …‘を'くぼませる,へこませる / へこむ,くぼむ"
depart,出発する；それる；辞任する；逝く,dɪˈpɑrt,"《文》(…から)(遠くへ)『立ち走る』,出発する《+『from』+『名』》 / (通常のことから)『はずれる』,変わる《+『from』+『名』》"
departure,出発；立ち去ること；辞職；逸脱,dɪˈpɑrʧər,"(…から)(遠くへ)『立ち去ること』,『出発』《+『from』+『名』》 / (通常のことから)『はずれること』,逸脱《+『from』+『名』》 / (方針・考えなどの)新機軸,新方針"
dependence,頼ること；依存,dɪˈpɛndəns,"(…に)頼ること,(…への)依存,依頼《+『on(upon)』+『名』》 / (…への)信頼,信用《+『on』+『名』》"
dependency,依存；属国；依存物,dɪˈpɛndənsi,"属国,保護領"
depict,表現する；描写する,dɪˈpɪkt,"(絵・言葉などで)…‘を'描き表す,描写する"
deploy,展開させる；配置する；作動する,dɪˈplɔɪ,〈部隊など〉‘を'配置する / (作戦的に)〈部隊などが〉配置につく
deployment,配備,dɪˈplɔɪmənt,"(兵などの)展開,散開"
